,GSID,Project Name,Project Developer Name,Status,Sustainable Development Goals,Project Type,Country,Description,Estimated Annual Credits,Methodology,Size,Programme of Activities,POA GSID,CORSIA
662,11141, Cankiri Landfill Gas to Energy Project,Cagla Balci Eris,Listed,"13,7,8",Biogas - Electricity,Turkey,"The Cankiri Landfill Gas to Energy Project is a Landfill Gas (“LFG”) to Energy Project, developed by “Pelitozu Enerji Elektrik Uretim A.S” which is located Asagi Pelitozu village of Cankiri province, in Turkey. The proposed activity involves the collection and utilization of the LFG with an electricity component with an installed capacity 1.56 MWe.In the first crediting period (30 October 2020 – 29 October 2025), the project is expected to reduce 123,854 tCO2e, which is 24,771 tCO2e per year.",24771,AMS-I.D. Grid connected renewable electricity generation,Small Scale,Standalone,,0
663,11140,Improved biomass cookstoves for returnees in Burundi,AERA Group,Gold Standard Certified Design,"13,15,7,8,1",Energy Efficiency - Domestic,Burundi,The project aims to provide returning refugees and IDPs (returnees ) with a locally produced efficient or improved cookstove (ICS) as part of a package provided by aid agencies to returnees. The ICS distributed through this project will encourage returnees to replace the prevailing inefficient three-stone fire place or traditional cookstoves that are predominantly used across the region. The ICS provides for an efficient use of the thermal energy generated though the combustion of biomass while cooking and there is a more efficient transfer of this thermal energy to the cooking pot. There is thus a resultant reduction in both biomass consumption and greenhouse gas emissions. ,395379,GS TPDDTEC v3.1,Large Scale,Standalone,,0
664,11139,Access to Improved Cooking Solutions Programme,ClimateCare Limited,Gold Standard Certified Design,"13,5,8,1",Energy Efficiency - Domestic,India,"The purpose of this program is threefold; 1) to reduce wood fuel (firewood and charcoal) consumption by distributing ICSs to households, 2) to provide a healthy environment and sustainable development by reducing air pollutant emission and deforestation and 3) to reduce emissions associated with cooking.
The PoA aims to replace traditional stoves with high efficient cooking devices, which would deliver impact across multiple areas.
Cooking on inefficient cooking devices using biomass, is a global problem affecting health, productivity and the environment. A large part of the PoA boundary population cannot use modern fuels such as electricity or cooking gas on account of access, affordability and availability.  
Inefficient cooking devices consume significant amounts of fuel and emit dangerous smoke on account of their incomplete and inefficient combustion. The smoke emitted by traditional stoves is known to be one of the biggest health risks faced by women and children due to the presence of particulates.
For this reason, this proposed PoA aims at reducing the wood fuel consumption of inefficient cooking devices by distributing improved cook devices which reduce fuel consumption. To reduce deforestation and the emission of greenhouse gas within the PoA boundary, cooking devices being distributed will lead to use of less wood fuel or substitute it.
The PoA proposes to develop and commercialise the carbon assets from the distribution of various cooking devices (improved cook stoves, ethanol stoves, electric cookers, metered LPG, solar cookers amongst others) to replace baseline inefficient stoves.  The PoA will structured in away such that it can leverage on investor funding and carbon finance to support (subsidy) production and distribution. The investor funds would be supplemented with Carbon funds which will create a revolving fund to help in payment for the cooking devices and provide a loan facility to help more uptake of the cooking devices.",0,GS TPDDTEC V4.0: REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION,Small Scale,POA,,0
665,11138,National Biodigester Programme Phase IV,MAFF/National Biodigester Programme,Listed,"13,2,7",Biogas - Heat,Cambodia,"Development of a market-oriented biodigester sector in Cambodia with the aim to exploit the potential of biogas in Cambodia enabling rural households to switch to clean cooking from relying on wood, reduce deforestation and improve agricultural yields through the use of bio-slurry",15000,GS TPDDTEC v3.1,Large scale,Standalone,,0
666,11137,GS10959 VPA06 Safe Water Project in Rwanda VI,Guangzhou Iceberg Environmental Consulting Services Co. Ltd,Gold Standard Certified Design,"13,6,5,3",Energy Efficiency - Domestic,Rwanda,"The project will provide safe water to people in Rwanda through borehole and chemical disinfection when required. It will decrease the consumption of non renewable biomass for water boiling so as to protect forest ecosystem and reduce related greenhouse gas emissions. In addition, the project will improve water quality and indoor air quality.",60000,GS TPDDTEC v3.1,Small Scale,VPA,10959.0,0
667,11136,GS10959 VPA05 Safe Water Project in Rwanda V,Guangzhou Iceberg Environmental Consulting Services Co. Ltd,Gold Standard Certified Design,"13,6,5,3",Energy Efficiency - Domestic,Rwanda,"The Project will provide safe water to people in District through borehole and chemical disinfection when required. It will decrease the consumption of non renewable biomass for water boiling so as to protect forest ecosystem and reduce related greenhouse gas emissions. In addition, the project will improve water quality and indoor air quality.",60000,GS TPDDTEC v3.1,Small Scale,VPA,10959.0,0
668,11135,GS10959 VPA04 Safe Water Project in Rwanda IV,Guangzhou Iceberg Environmental Consulting Services Co. Ltd,Gold Standard Certified Design,"13,6,5,3",Energy Efficiency - Domestic,Rwanda,"The Project will provide safe water to people in District through borehole and chemical disinfection when required. It will decrease the consumption of non renewable biomass for water boiling so as to protect forest ecosystem and reduce related greenhouse gas emissions. In addition, the project will improve water quality and indoor air quality.",60000,GS TPDDTEC v3.1,Small Scale,VPA,10959.0,0
669,11134,GS10959 VPA03 Safe Water Project in Rwanda III,Guangzhou Iceberg Environmental Consulting Services Co. Ltd,Gold Standard Certified Design,"13,6,5,3",Energy Efficiency - Domestic,Rwanda,"The Project will provide safe water to people in Rwanda through borehole and chemical disinfection when required. It will decrease the consumption of non renewable biomass for water boiling so as to protect forest ecosystem and reduce related greenhouse gas emissions. In addition, the project will improve water quality and indoor air quality.",60000,GS TPDDTEC v3.1,Small Scale,VPA,10959.0,0
670,11133,GS10959 VPA02 Safe Water Project in Rwanda II,Guangzhou Iceberg Environmental Consulting Services Co. Ltd,Gold Standard Certified Design,"13,6,5,3",Energy Efficiency - Domestic,Rwanda,"The Project will provide safe water to people in Rwanda through borehole and chemical disinfection when required. It will decrease the consumption of non renewable biomass for water boiling so as to protect forest ecosystem and reduce related greenhouse gas emissions. In addition, the project will improve water quality and indoor air quality.",60000,GS TPDDTEC v3.1,Small Scale,VPA,10959.0,0
671,11131,Conversion of intensive agricultural systems to dynamic agroforestry systems for sustainable cocoa production in Ecuador ,South Pole Carbon Asset Management Ltd.,Listed,"13,15,2",A/R,Ecuador,"The project Conversion of Intensive Cocoa Systems to Dynamic Agroforestry Systems DAF in Ecuador aims to transform conventional cocoa systems to free exposure and other crops. This will be carried out using Dynamic Agroforestry Systems (DAF) in small cocoa plots in different regions of Ecuador, benefiting approximately 600 associated producers in the UNOCACE (Unión de Organizaciones Campesinas Cacaotereas, in Spanish, cooperative). This system makes it possible to increase the productivity of cocoa cultivation and diversify production through the introduction of timber trees and food crops. In addition, it generates increased income for producers through the sale of organic cocoa and the production is more stable.",9125,Afforestation/Reforestation GHG Emissions Reduction & Sequestration Methodology,Micro scale,Standalone,,0
